Provider ID,HCAHPS Question,Patient Survey Star Rating
10001,Summary star rating,2
10001,Cleanliness - star rating,2
10001,Nurse communication - star rating,2
10001,Doctor communication - star rating,3
10001,Staff responsiveness - star rating,1
10001,Communication about medicines - star rating,2
10001,Discharge information - star rating,3
10001,Care transition - star rating,3
10001,Overall hospital rating - star rating,3
10001,Quietness - star rating,3
10001,Recommend hospital - star rating,3
10005,Summary star rating,3
10005,Cleanliness - star rating,2
10005,Nurse communication - star rating,3
10005,Doctor communication - star rating,4
10005,Staff responsiveness - star rating,2
10005,Communication about medicines - star rating,4
10005,Discharge information - star rating,4
10005,Care transition - star rating,3
10005,Overall hospital rating - star rating,3
10005,Quietness - star rating,4
10005,Recommend hospital - star rating,3
10006,Summary star rating,3
10006,Cleanliness - star rating,1
10006,Nurse communication - star rating,3
10006,Doctor communication - star rating,3
10006,Staff responsiveness - star rating,2
10006,Communication about medicines - star rating,4
10006,Discharge information - star rating,3
10006,Care transition - star rating,3
10006,Overall hospital rating - star rating,2
10006,Quietness - star rating,3
10006,Recommend hospital - star rating,2
10007,Summary star rating,3
10007,Cleanliness - star rating,2
10007,Nurse communication - star rating,3
10007,Doctor communication - star rating,4
10007,Staff responsiveness - star rating,4
10007,Communication about medicines - star rating,3
10007,Discharge information - star rating,3
10007,Care transition - star rating,3
10007,Overall hospital rating - star rating,3
10007,Quietness - star rating,4
10007,Recommend hospital - star rating,3
10008,Summary star rating,Not Available
10008,Cleanliness - star rating,Not Available
10008,Nurse communication - star rating,Not Available
10008,Doctor communication - star rating,Not Available
10008,Staff responsiveness - star rating,Not Available
10008,Communication about medicines - star rating,Not Available
10008,Discharge information - star rating,Not Available
10008,Care transition - star rating,Not Available
10008,Overall hospital rating - star rating,Not Available
10008,Quietness - star rating,Not Available
10008,Recommend hospital - star rating,Not Available
10011,Summary star rating,3
10011,Cleanliness - star rating,2
10011,Nurse communication - star rating,3
10011,Doctor communication - star rating,4
10011,Staff responsiveness - star rating,3
10011,Communication about medicines - star rating,3
10011,Discharge information - star rating,3
10011,Care transition - star rating,3
10011,Overall hospital rating - star rating,3
10011,Quietness - star rating,3
10011,Recommend hospital - star rating,3
10012,Summary star rating,3
10012,Cleanliness - star rating,3
10012,Nurse communication - star rating,2
10012,Doctor communication - star rating,3
10012,Staff responsiveness - star rating,3
10012,Communication about medicines - star rating,3
10012,Discharge information - star rating,3
10012,Care transition - star rating,2
10012,Overall hospital rating - star rating,2
10012,Quietness - star rating,3
10012,Recommend hospital - star rating,2
10016,Summary star rating,3
10016,Cleanliness - star rating,2
10016,Nurse communication - star rating,2
10016,Doctor communication - star rating,3
10016,Staff responsiveness - star rating,2
10016,Communication about medicines - star rating,2
10016,Discharge information - star rating,3
10016,Care transition - star rating,3
10016,Overall hospital rating - star rating,3
10016,Quietness - star rating,3
10016,Recommend hospital - star rating,3
10018,Summary star rating,Not Available
10018,Cleanliness - star rating,Not Available
10018,Nurse communication - star rating,Not Available
10018,Doctor communication - star rating,Not Available
