Provider ID,Payment measure ID,Payment category,Lower estimate,Higher estimate,Value of care display name,Value of care category
10001,PAYM_30_AMI,No Different than the National Average Payment,"$22,216 ","$24,641 ",Value of Care Heart Attack measure,Average mortality and average payment
10001,PAYM_30_HF,No Different than the National Average Payment,"$16,268 ","$17,849 ",Value of Care Heart Failure measure,Average mortality and average payment
10001,PAYM_90_HIP_KNEE,Greater than the National Average Payment,"$24,704 ","$26,982 ",Value of Care hip/knee replacement measure,Average complications and higher payment
10001,PAYM_30_PN,No Different than the National Average Payment,"$17,354 ","$19,236 ",Value of Care Pneumonia measure,Average mortality and average payment
10005,PAYM_30_AMI,No Different than the National Average Payment,"$20,153 ","$25,443 ",Value of Care Heart Attack measure,Average mortality and average payment
10005,PAYM_30_HF,No Different than the National Average Payment,"$14,717 ","$17,017 ",Value of Care Heart Failure measure,Worse mortality and average payment
10005,PAYM_90_HIP_KNEE,No Different than the National Average Payment,"$21,745 ","$23,808 ",Value of Care hip/knee replacement measure,Average complications and average payment
10005,PAYM_30_PN,Less than the National Average Payment,"$14,905 ","$16,311 ",Value of Care Pneumonia measure,Worse mortality and lower payment
10006,PAYM_30_AMI,No Different than the National Average Payment,"$22,451 ","$25,626 ",Value of Care Heart Attack measure,Average mortality and average payment
10006,PAYM_30_HF,No Different than the National Average Payment,"$15,581 ","$17,164 ",Value of Care Heart Failure measure,Average mortality and average payment
10006,PAYM_90_HIP_KNEE,Greater than the National Average Payment,"$23,611 ","$25,395 ",Value of Care hip/knee replacement measure,Average complications and higher payment
10006,PAYM_30_PN,No Different than the National Average Payment,"$16,627 ","$18,098 ",Value of Care Pneumonia measure,Average mortality and average payment
10007,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
10007,PAYM_30_HF,Less than the National Average Payment,"$12,718 ","$16,427 ",Value of Care Heart Failure measure,Average mortality and lower payment
10007,PAYM_90_HIP_KNEE,No Different than the National Average Payment,"$20,865 ","$26,339 ",Value of Care hip/knee replacement measure,Average complications and average payment
10007,PAYM_30_PN,Less than the National Average Payment,"$13,881 ","$16,486 ",Value of Care Pneumonia measure,Worse mortality and lower payment
10008,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
10008,PAYM_30_HF,Less than the National Average Payment,"$11,745 ","$16,193 ",Value of Care Heart Failure measure,Average mortality and lower payment
10008,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
10008,PAYM_30_PN,Less than the National Average Payment,"$12,307 ","$16,410 ",Value of Care Pneumonia measure,Average mortality and lower payment
10011,PAYM_30_AMI,No Different than the National Average Payment,"$21,880 ","$26,151 ",Value of Care Heart Attack measure,Average mortality and average payment
10011,PAYM_30_HF,No Different than the National Average Payment,"$15,112 ","$17,243 ",Value of Care Heart Failure measure,Average mortality and average payment
10011,PAYM_90_HIP_KNEE,Greater than the National Average Payment,"$22,425 ","$25,224 ",Value of Care hip/knee replacement measure,Average complications and higher payment
10011,PAYM_30_PN,No Different than the National Average Payment,"$16,906 ","$18,819 ",Value of Care Pneumonia measure,Average mortality and average payment
